user_id,event_time,event_name,event_value,attempt_id
U000001,2024-09-25 12:36:44.000000,app_install,,A0_0
U000001,2024-09-25 14:17:31.344846,registration_start,,A0_1
U000001,2024-09-26 14:39:38.391156,verification_submitted,,A0_2
U000002,2024-07-05 06:41:18.000000,app_install,,A1_0
U000002,2024-07-05 06:43:17.335343,registration_start,,A1_1
U000003,2024-09-26 23:57:30.000000,app_install,,A2_0
U000003,2024-09-27 00:54:23.302571,registration_start,,A2_1
U000003,2024-09-27 05:37:23.337486,verification_submitted,,A2_2
U000003,2024-09-27 09:55:40.645021,kyc_failed,,A2_3
U000004,2024-11-06 20:42:47.000000,app_install,,A3_0
U000004,2024-11-06 23:24:17.916971,registration_start,,A3_1
U000004,2024-11-07 03:11:32.769597,verification_submitted,,A3_2
U000004,2024-11-11 01:38:58.933292,kyc_approved,,A3_3
U000004,2024-11-11 01:39:32.769031,account_created,,A3_4
U000004,2024-11-19 15:31:25.477798,first_funding,,A3_5
U000005,2024-09-01 00:03:08.000000,app_install,,A4_0
U000005,2024-09-01 00:04:38.528775,registration_start,,A4_1
U000005,2024-09-01 08:51:38.448554,verification_submitted,,A4_2
U000006,2024-06-03 02:38:12.000000,app_install,,A5_0
U000006,2024-06-03 03:59:31.328738,registration_start,,A5_1
U000006,2024-06-05 10:01:04.872698,verification_submitted,,A5_2
U000006,2024-06-06 02:46:35.631358,kyc_approved,,A5_3
U000006,2024-06-06 02:49:03.203513,account_created,,A5_4
U000006,2024-06-15 10:26:17.768303,first_funding,,A5_5
U000006,2024-06-16 05:58:36.658109,first_transaction,,A5_6
U000007,2024-01-26 20:41:29.000000,app_install,,A6_0
U000007,2024-01-26 23:00:50.831898,registration_start,,A6_1
U000007,2024-01-28 13:46:16.583335,verification_submitted,,A6_2
U000007,2024-01-30 18:09:41.300201,kyc_approved,,A6_3
U000007,2024-01-30 18:26:22.351789,account_created,,A6_4
U000007,2024-02-06 11:02:55.885498,first_funding,,A6_5
U000007,2024-02-07 12:55:01.553968,first_transaction,,A6_6
U000007,2024-02-16 06:13:58.013590,week1_active,,A6_7
U000008,2024-11-05 10:37:10.000000,app_install,,A7_0
U000008,2024-11-05 11:09:35.622191,registration_start,,A7_1
U000008,2024-11-05 11:36:43.797826,verification_submitted,,A7_2
U000008,2024-11-08 22:07:17.725934,kyc_approved,,A7_3
U000008,2024-11-09 01:38:09.664165,account_created,,A7_4
U000008,2024-11-10 03:31:21.871945,first_funding,,A7_5
U000008,2024-11-10 23:02:09.342515,first_transaction,,A7_6
U000008,2024-11-23 00:08:08.992939,week1_active,,A7_7
U000009,2024-06-17 19:43:06.000000,app_install,,A8_0
U000009,2024-06-18 01:01:00.111521,registration_start,,A8_1
U000009,2024-06-18 01:39:00.392695,verification_submitted,,A8_2
U000010,2024-10-31 10:04:58.000000,app_install,,A9_0
U000010,2024-10-31 10:24:20.261292,registration_start,,A9_1
U000010,2024-11-02 04:12:42.242694,verification_submitted,,A9_2
U000010,2024-11-02 16:19:00.440970,kyc_approved,,A9_3
U000011,2024-10-04 13:30:28.000000,app_install,,A10_0
U000011,2024-10-04 14:07:43.587406,registration_start,,A10_1
U000011,2024-10-08 16:18:50.919397,verification_submitted,,A10_2
U000011,2024-10-11 06:19:19.557541,kyc_approved,,A10_3
U000012,2024-04-21 10:35:19.000000,app_install,,A11_0
U000012,2024-04-21 10:45:51.921494,registration_start,,A11_1
U000012,2024-04-21 19:09:27.080611,verification_submitted,,A11_2
U000012,2024-04-24 20:36:19.321014,kyc_approved,,A11_3
U000012,2024-04-24 20:51:53.386387,account_created,,A11_4
U000012,2024-04-24 21:01:25.281135,first_funding,,A11_5
U000012,2024-04-25 06:02:41.809890,first_transaction,,A11_6
U000012,2024-04-26 10:58:30.619051,week1_active,,A11_7
U000013,2024-09-02 22:41:27.000000,app_install,,A12_0
U000013,2024-09-03 02:25:23.644373,registration_start,,A12_1
U000014,2024-05-01 20:07:30.000000,app_install,,A13_0
U000014,2024-05-01 20:46:53.108720,registration_start,,A13_1
U000014,2024-05-02 15:02:17.336915,verification_submitted,,A13_2
U000014,2024-05-09 15:12:38.807313,kyc_approved,,A13_3
U000015,2024-09-03 12:54:45.000000,app_install,,A14_0
U000015,2024-09-03 19:10:53.765976,registration_start,,A14_1
U000015,2024-09-04 03:52:01.657843,verification_submitted,,A14_2
U000015,2024-09-08 00:25:47.838865,kyc_failed,,A14_3
U000016,2024-03-26 16:54:12.000000,app_install,,A15_0
U000016,2024-03-26 19:34:40.647099,registration_start,,A15_1
U000016,2024-03-27 12:28:22.066632,verification_submitted,,A15_2
U000017,2024-02-27 15:45:05.000000,app_install,,A16_0
U000017,2024-02-27 17:07:02.865448,registration_start,,A16_1
U000017,2024-02-28 20:16:34.817801,verification_submitted,,A16_2
U000018,2024-06-10 11:56:07.000000,app_install,,A17_0
U000018,2024-06-10 12:35:28.386584,registration_start,,A17_1
U000018,2024-06-12 01:24:29.836810,verification_submitted,,A17_2
U000019,2024-08-02 15:08:27.000000,app_install,,A18_0
U000019,2024-08-02 15:17:54.492760,registration_start,,A18_1
U000019,2024-08-03 01:24:41.260810,verification_submitted,,A18_2
U000019,2024-08-04 13:09:26.292936,kyc_failed,,A18_3
U000020,2024-02-22 07:56:13.000000,app_install,,A19_0
U000020,2024-02-22 18:20:39.325794,registration_start,,A19_1
U000020,2024-02-23 03:25:21.669193,verification_submitted,,A19_2
U000020,2024-02-25 21:01:11.290429,kyc_failed,,A19_3
U000021,2024-03-10 16:11:17.000000,app_install,,A20_0
U000021,2024-03-10 16:26:27.159034,registration_start,,A20_1
U000021,2024-03-10 18:33:14.179694,verification_submitted,,A20_2
U000022,2024-02-08 17:06:09.000000,app_install,,A21_0
U000022,2024-02-08 18:13:26.997431,registration_start,,A21_1
U000023,2024-04-16 06:05:51.000000,app_install,,A22_0
U000023,2024-04-16 07:03:08.897359,registration_start,,A22_1
U000023,2024-04-16 23:23:15.675624,verification_submitted,,A22_2
U000023,2024-04-18 13:46:43.348194,kyc_approved,,A22_3
U000023,2024-04-18 13:46:52.303402,account_created,,A22_4
U000023,2024-04-23 18:40:31.593504,first_funding,,A22_5
U000024,2024-01-02 04:42:35.000000,app_install,,A23_0
U000024,2024-01-02 05:03:23.245969,registration_start,,A23_1
U000024,2024-01-04 02:48:20.900323,verification_submitted,,A23_2
U000025,2024-07-03 18:33:56.000000,app_install,,A24_0
U000025,2024-07-03 19:32:45.885022,registration_start,,A24_1
U000025,2024-07-05 08:49:33.854138,verification_submitted,,A24_2
U000025,2024-07-08 04:12:05.440096,kyc_approved,,A24_3
U000025,2024-07-08 04:30:18.501243,account_created,,A24_4
U000025,2024-07-20 10:13:06.042395,first_funding,,A24_5
U000025,2024-07-21 05:00:49.927390,first_transaction,,A24_6
U000026,2024-01-15 14:45:52.000000,app_install,,A25_0
U000026,2024-01-15 20:45:19.028761,registration_start,,A25_1
U000026,2024-01-17 18:14:51.115108,verification_submitted,,A25_2
U000027,2024-04-23 05:57:13.000000,app_install,,A26_0
U000027,2024-04-23 06:59:06.903265,registration_start,,A26_1
U000027,2024-04-23 22:39:41.133508,verification_submitted,,A26_2
U000027,2024-04-28 15:54:57.143401,kyc_approved,,A26_3
U000027,2024-04-28 16:01:48.853691,account_created,,A26_4
U000027,2024-05-06 03:58:56.252573,first_funding,,A26_5
U000027,2024-05-06 07:02:43.676689,first_transaction,,A26_6
U000027,2024-05-07 01:11:30.032429,week1_active,,A26_7
U000028,2024-03-06 13:33:09.000000,app_install,,A27_0
U000028,2024-03-06 18:06:26.148645,registration_start,,A27_1
U000028,2024-03-09 09:58:58.976010,verification_submitted,,A27_2
U000028,2024-03-13 10:55:44.481364,kyc_failed,,A27_3
U000029,2024-04-22 05:19:39.000000,app_install,,A28_0
U000029,2024-04-22 08:34:57.490465,registration_start,,A28_1
U000029,2024-04-22 09:56:59.802122,verification_submitted,,A28_2
U000030,2024-04-17 16:54:08.000000,app_install,,A29_0
U000030,2024-04-17 17:15:55.448927,registration_start,,A29_1
U000031,2024-03-07 11:17:46.000000,app_install,,A30_0
U000031,2024-03-07 11:33:39.278660,registration_start,,A30_1
U000031,2024-03-07 13:11:54.452258,verification_submitted,,A30_2
U000031,2024-03-10 04:25:31.944582,kyc_approved,,A30_3
U000031,2024-03-10 05:42:08.550052,account_created,,A30_4
U000031,2024-03-12 21:53:04.553484,first_funding,,A30_5
U000031,2024-03-17 18:59:44.630542,first_transaction,,A30_6
U000031,2024-03-19 09:15:46.747528,week1_active,,A30_7
U000032,2024-05-03 04:14:50.000000,app_install,,A31_0
U000032,2024-05-03 04:40:04.366344,registration_start,,A31_1
U000032,2024-05-03 15:25:32.565391,verification_submitted,,A31_2
U000033,2024-03-11 18:16:30.000000,app_install,,A32_0
U000033,2024-03-11 19:34:19.024422,registration_start,,A32_1
U000033,2024-03-12 23:10:13.650879,verification_submitted,,A32_2
U000033,2024-03-13 12:18:10.852645,kyc_approved,,A32_3
U000033,2024-03-13 13:00:51.023328,account_created,,A32_4
U000033,2024-03-16 12:49:49.977257,first_funding,,A32_5
U000034,2024-11-28 03:10:33.000000,app_install,,A33_0
U000034,2024-11-28 04:09:32.042990,registration_start,,A33_1
U000034,2024-11-29 00:25:15.743158,verification_submitted,,A33_2
U000034,2024-11-29 10:29:41.002527,kyc_failed,,A33_3
U000035,2024-06-02 05:08:43.000000,app_install,,A34_0
U000035,2024-06-02 06:12:45.518300,registration_start,,A34_1
U000036,2024-09-05 19:49:15.000000,app_install,,A35_0
U000036,2024-09-06 00:55:51.242317,registration_start,,A35_1
U000036,2024-09-06 20:46:49.905051,verification_submitted,,A35_2
U000036,2024-09-08 21:41:44.584372,kyc_approved,,A35_3
U000036,2024-09-08 21:48:58.754460,account_created,,A35_4
U000036,2024-09-09 15:16:40.905681,first_funding,,A35_5
U000036,2024-09-10 15:00:40.426070,first_transaction,,A35_6
U000036,2024-09-13 00:18:58.611166,week1_active,,A35_7
U000037,2024-11-04 15:26:06.000000,app_install,,A36_0
U000037,2024-11-04 17:03:55.700957,registration_start,,A36_1
U000037,2024-11-07 08:06:14.819003,verification_submitted,,A36_2
U000037,2024-11-11 16:59:23.245165,kyc_approved,,A36_3
U000037,2024-11-11 17:45:50.906813,account_created,,A36_4
U000037,2024-11-15 02:37:57.007451,first_funding,,A36_5
U000038,2024-05-26 09:30:37.000000,app_install,,A37_0
U000038,2024-05-26 10:17:27.707166,registration_start,,A37_1
U000038,2024-05-27 02:08:47.546454,verification_submitted,,A37_2
U000038,2024-05-27 09:12:02.564356,kyc_approved,,A37_3
U000038,2024-05-27 10:05:28.608903,account_created,,A37_4
U000038,2024-05-29 03:15:37.931032,first_funding,,A37_5
U000038,2024-05-29 14:14:26.390258,first_transaction,,A37_6
U000038,2024-06-02 17:00:02.267212,week1_active,,A37_7
U000039,2024-08-20 02:15:25.000000,app_install,,A38_0
U000039,2024-08-20 02:30:10.067946,registration_start,,A38_1
U000039,2024-08-20 09:45:37.117740,verification_submitted,,A38_2
U000040,2024-07-14 03:51:10.000000,app_install,,A39_0
U000040,2024-07-14 06:10:08.947158,registration_start,,A39_1
U000040,2024-07-15 07:26:00.844845,verification_submitted,,A39_2
U000040,2024-07-16 16:44:54.223286,kyc_failed,,A39_3
U000041,2024-02-29 13:53:01.000000,app_install,,A40_0
U000041,2024-02-29 18:27:51.640030,registration_start,,A40_1
U000042,2024-08-04 19:12:50.000000,app_install,,A41_0
U000042,2024-08-04 21:46:19.731072,registration_start,,A41_1
U000042,2024-08-07 01:51:13.627236,verification_submitted,,A41_2
U000042,2024-08-09 18:28:30.151716,kyc_approved,,A41_3
U000042,2024-08-09 18:30:41.361579,account_created,,A41_4
U000043,2024-11-15 05:40:06.000000,app_install,,A42_0
U000043,2024-11-15 07:27:17.849968,registration_start,,A42_1
U000043,2024-11-16 09:14:12.854563,verification_submitted,,A42_2
U000044,2024-11-27 11:41:39.000000,app_install,,A43_0
U000044,2024-11-27 19:56:26.588211,registration_start,,A43_1
U000044,2024-12-01 15:47:35.107285,verification_submitted,,A43_2
U000045,2024-11-17 23:26:55.000000,app_install,,A44_0
U000045,2024-11-18 00:23:12.623541,registration_start,,A44_1
U000045,2024-11-18 10:10:12.116296,verification_submitted,,A44_2
U000045,2024-11-18 10:58:25.568651,kyc_failed,,A44_3
U000046,2024-10-16 13:58:16.000000,app_install,,A45_0
U000046,2024-10-16 19:37:54.702814,registration_start,,A45_1
U000046,2024-10-17 11:22:25.866862,verification_submitted,,A45_2
U000046,2024-10-18 22:14:16.545785,kyc_approved,,A45_3
U000047,2024-01-29 02:33:08.000000,app_install,,A46_0
U000047,2024-01-29 03:58:51.187429,registration_start,,A46_1
U000047,2024-01-30 01:17:49.234184,verification_submitted,,A46_2
U000047,2024-01-31 08:59:59.220844,kyc_failed,,A46_3
U000048,2024-10-24 09:13:22.000000,app_install,,A47_0
U000048,2024-10-24 10:38:16.248940,registration_start,,A47_1
U000049,2024-01-31 19:44:06.000000,app_install,,A48_0
U000049,2024-01-31 22:24:31.284039,registration_start,,A48_1
U000049,2024-02-01 19:50:48.006528,verification_submitted,,A48_2
U000049,2024-02-03 08:20:03.115749,kyc_approved,,A48_3
U000049,2024-02-03 11:21:11.393939,account_created,,A48_4
U000049,2024-02-03 19:16:39.772893,first_funding,,A48_5
U000049,2024-02-06 02:53:25.251150,first_transaction,,A48_6
U000049,2024-02-07 12:49:24.864500,week1_active,,A48_7
U000050,2024-11-17 05:01:08.000000,app_install,,A49_0
U000050,2024-11-17 05:35:02.923531,registration_start,,A49_1
U000050,2024-11-17 06:01:35.442659,verification_submitted,,A49_2
