ticket_id,user_id,created_time,topic,resolution_time_min
TKT000000,U000017,2024-03-12 19:38:38.248103,card_request,431.8115927166923
TKT000001,U002071,2024-03-25 03:14:48.009607,technical_bug,366.2726806069654
TKT000002,U004690,2024-08-19 02:05:48.759687,login_issue,341.23452591193285
TKT000003,U004690,2024-08-14 16:19:50.585245,technical_bug,37.73866526654212
TKT000004,U004690,2024-08-20 05:26:43.121984,technical_bug,90.87279581525952
TKT000005,U000820,2024-09-03 18:40:47.768803,kyc_delay,550.3523601040649
TKT000006,U003358,2024-05-22 16:08:27.365624,kyc_delay,56.109179663105266
TKT000007,U002065,2024-05-27 02:51:34.811658,technical_bug,378.1535101723144
TKT000008,U004192,2024-10-07 01:46:32.974765,login_issue,39.12951872867332
TKT000009,U001364,2024-07-04 17:53:10.650072,technical_bug,84.05835625830588
TKT000010,U002598,2024-06-18 14:50:10.580888,card_request,141.61533962838067
TKT000011,U002598,2024-06-18 19:23:03.922748,technical_bug,323.04817390347097
TKT000012,U006728,2024-03-09 13:58:51.185102,account_question,67.90184579217491
TKT000013,U006728,2024-02-23 21:54:46.264404,fraud_concern,41.67440907685
TKT000014,U008401,2024-03-09 18:53:17.397003,transaction_failed,94.39515133691897
TKT000015,U001025,2024-10-18 02:04:57.108463,technical_bug,48.45968845579169
TKT000016,U002437,2024-09-22 05:53:22.278022,login_issue,258.1554524967749
TKT000017,U002380,2024-12-02 16:34:15.419802,fraud_concern,201.70364574722646
TKT000018,U001191,2024-10-18 14:02:56.265975,technical_bug,207.33348001186718
TKT000019,U001191,2024-10-11 02:28:01.351994,technical_bug,64.62210082854045
TKT000020,U004275,2024-11-07 12:37:19.616758,kyc_delay,14.472039275745416
TKT000021,U009581,2024-10-29 19:24:57.971198,card_request,32.94522405764499
TKT000022,U008949,2024-01-08 09:20:03.179017,transaction_failed,284.54463510028916
TKT000023,U008949,2024-01-28 20:51:30.356184,login_issue,66.094215009309
TKT000024,U001313,2024-01-16 03:31:34.133870,fraud_concern,57.1601464304765
TKT000025,U000777,2024-05-24 14:32:25.219627,account_question,115.49692823901675
TKT000026,U005192,2024-04-18 12:35:31.818540,technical_bug,33.77953797079115
TKT000027,U002991,2024-11-28 23:20:11.552701,login_issue,93.94973589994807
TKT000028,U002991,2024-12-05 02:01:37.284355,technical_bug,336.2062567032212
TKT000029,U007795,2024-10-13 20:00:17.242573,fraud_concern,102.17351868821419
TKT000030,U007795,2024-10-18 04:02:57.416026,technical_bug,23.37365071569763
TKT000031,U005041,2024-09-12 18:29:22.881748,account_question,384.50446358178425
TKT000032,U005691,2024-02-09 02:56:47.282241,fraud_concern,67.6180971226075
TKT000033,U005691,2024-01-26 11:16:32.338950,transaction_failed,129.11969530598165
TKT000034,U002561,2024-03-21 10:45:30.322044,card_request,226.4966584239304
TKT000035,U006819,2024-07-06 00:36:38.169142,transaction_failed,32.70257829867621
TKT000036,U008538,2024-11-20 02:49:13.856938,transaction_failed,31.048627045620137
TKT000037,U008538,2024-11-26 06:49:14.453936,fraud_concern,101.60270682027621
TKT000038,U008367,2024-08-15 11:52:34.085089,technical_bug,32.46658431816843
TKT000039,U008367,2024-08-17 09:45:51.550741,fraud_concern,84.19545321460457
TKT000040,U001265,2024-02-15 16:14:45.768440,fraud_concern,124.5241119602281
TKT000041,U000299,2024-10-20 13:37:20.439316,technical_bug,86.03752384520045
TKT000042,U002483,2024-05-19 23:11:14.422014,fraud_concern,145.89824541152885
TKT000043,U008200,2024-04-03 07:52:18.369671,card_request,247.77102809072053
TKT000044,U003869,2024-01-27 23:31:57.966352,fraud_concern,211.1188404803702
TKT000045,U003869,2024-01-25 09:42:10.909620,technical_bug,178.30990944483966
TKT000046,U008627,2024-05-09 02:29:06.021643,login_issue,64.60576723871701
TKT000047,U008627,2024-05-19 23:16:36.916114,kyc_delay,21.352568374115005
